search_keyword,page_number,job_title,company_name,location,posted_time,years_of_experience,technologies
Cloud,1,Senior Cloud Solution Architect,EXALT Technologies  -,"Sheraton,",25 days,,"·,Computer Science,·,DevOps,·,Engineering,·,Information Technology (IT),·,Infrastructure,·,Linux"
Cloud,1,Oracle Fusion Cloud ERP Developer,Specialized Seamless Services  -,"Heliopolis,",1 month,,"·,Oracle Database,·,Oracle PL/SQL"
Cloud,1,Senior Cloud administrator,Seoudi Supermarket -,"Sheikh Zayed,",1 month,,"·,Business Administration,·,Computer Science,·,Engineering,·,Information Technology (IT),·,Management,·,MCSA,·,MCSE"
Cloud,1,DevOps Engineer,Exceed -,"Cairo,",,,"·,CI/CD,·,Computer Science,·,DevOps,·,Docker,·,Information Technology (IT),·,Jenkins,·,Kubernetes"
Cloud,1,System Engineer,Efada Technology -,"New Cairo,",,,"·,Active Directory,·,Azure,·,Engineering,·,Information Technology (IT),·,Communication skills,·,MCSA"
Cloud,1,Senior Developer/Manager (Full-Stack + ML Ops),My Business Care Team -,"Cairo,",11 days,,"·,AWS,·,Information Technology (IT),·,Software,·,Software Development,·,DevOps,·,Lambda,·,EC2,·,DynamoDB"
Cloud,1,IT Systems Administrator,K Line Europe -,"Cairo,",11 days,,"·,AWS,·,Infrastructure,·,Information Technology (IT),·,System Administration,·,Virtualization technologies,·,Computer Science"
Cloud,1,Full-stack Software Engineer,Nacita -,"Cairo,",10 days,,"·,full-stack engineer,·,software engineeer,·,angular,·,Agile,·,Java,·,nodejs,·,Kubernetes"
Cloud,1,Full Stack Team Lead,Confidential -,"Dubai,",10 days,,"·,Azure,·,back-end,·,Development,·,Information Technology (IT),·,HTML,·,Computer Science,·,CSS,·,Java"
Cloud,1,Devops Engineer,Egpay -,"Maadi,",16 days,,"·,DevOps,·,CI/CD,·,Engineering,·,Software Engineering,·,Docker,·,Information Technology (IT),·,Computer Science"
Cloud,1,IT Solutions - Hardware Sales Executive,Confidential -,"Heliopolis,",11 days,,"·,Communication,·,Communication skills,·,Hardware,·,Information Technology (IT),·,Negotiation,·,network,·,Light Current"
Cloud,1,SQL Developer,Circle K -,"Sheraton,",16 days,,"·,MS SQL,·,SQL,·,Information Technology (IT),·,Azure,·,BI"
Cloud,1,Full Stack Developer,LMesh -,"Schiedam,",23 days,,"·,AWS,·,Full Stack Development,·,Software Development,·,React,·,Docker,·,JavaScript,·,Node.js"
Cloud,1,"Software Developer ""Outsourced Cash team""",Efada Technology -,"6th of October,",27 days,,"·,Agile,·,Information Technology (IT),·,Java,·,Software Development,·,Computer Science,·,Agile Methodology,·,AWS"
Cloud,1,L2 Technical Support Engineer (Telecom Sector),Viavi Solutions -,"Maadi,",1 month,,"·,Linux,·,Technical Support,·,Telecommunication,·,Troubleshooting,·,Networking,·,JIRA,·,Docker"
Devops,1,Senior Devops Engineer,Royal Cyber -,"Riyadh,",,,"·,CI/CD,·,Kubernetes,·,Jenkins,·,Docker,·,Ansible,·,Kubernete,·,CICD,·,Github"
Devops,1,Devops Instructor,Route ِAcademy -,"Alexandria,",,,"·,Communication & Presentation Skills"
Devops,1,DevOps Engineer,Exceed -,"Cairo,",,,"·,CI/CD,·,Cloud,·,Computer Science,·,Docker,·,Information Technology (IT),·,Jenkins,·,Kubernetes"
Devops,1,Devops Engineer,Egpay -,"Maadi,",16 days,,"·,CI/CD,·,Engineering,·,Software Engineering,·,Docker,·,Information Technology (IT),·,Computer Science"
Devops,1,DevOps Engineer,Bydotpy -,"Maadi,",1 month,,"·,AWS,·,CI/CD,·,Docker,·,Jenkins,·,Kubernetes,·,Azure"
Devops,1,Senior Devops Engineer,Bevatel -,"Dokki,",1 month,,"·,Kubernetes,·,Terraform,·,Google Cloud,·,GCP,·,Cloud,·,Computer Science,·,Information Technology (IT),·,CI/CD"
Devops,1,Devops Engineer,MOBILY INFOTECH LTD INDIA -,"Cairo,",1 month,,
Devops,1,Senior Devops Engineer,Seoudi Supermarket -,"Sheikh Zayed,",1 month,,"·,Engineering,·,Information Technology (IT),·,Linux,·,Python,·,Software,·,Software Development,·,Git"
